config,declared_task_count,equal_task_attempt_cost_pareto_frontier,equal_task_cpsc_rank,equal_task_cpsc_usd,equal_task_mean_cost_per_attempt_usd,equal_task_pass_rate,equal_task_pass_rate_rank,equal_task_rank_displacement,full_basket_identified,harness,missing_task_count,missing_tasks,model,observed_task_count,provider,reasoning_effort
mini_swe_agent_gpt_5_6_luna_medium,111,True,4.0,1.9294079800000001,0.21727567342342344,0.11261261261261261,40.0,-36.0,True,mini-swe-agent,0,[],gpt-5-6-luna,111,openai,medium
mini_swe_agent_gpt_5_6_luna_xhigh,111,True,7.0,2.7597066441767066,1.5476733207207207,0.5608108108108109,16.0,-9.0,True,mini-swe-agent,0,[],gpt-5-6-luna,111,openai,xhigh
mini_swe_agent_gpt_5_6_sol_high,111,True,13.0,5.078261102620087,3.492257635135135,0.6876876876876877,7.0,6.0,True,mini-swe-agent,0,[],gpt-5-6-sol,111,openai,high
mini_swe_agent_gpt_5_6_sol_low,111,True,6.0,2.4140081155778894,1.0819540878378378,0.44819819819819817,26.0,-20.0,True,mini-swe-agent,0,[],gpt-5-6-sol,111,openai,low
mini_swe_agent_gpt_5_6_sol_max,111,True,30.0,11.665341202492211,8.43372640990991,0.722972972972973,1.0,29.0,True,mini-swe-agent,0,[],gpt-5-6-sol,111,openai,max
mini_swe_agent_gpt_5_6_sol_medium,111,True,8.0,3.0997454981412638,1.8779989617117117,0.6058558558558559,12.0,-4.0,True,mini-swe-agent,0,[],gpt-5-6-sol,111,openai,medium
mini_swe_agent_gpt_5_6_sol_xhigh,111,True,17.0,6.706385768577495,4.74280434984985,0.7072072072072072,2.0,15.0,True,mini-swe-agent,0,[],gpt-5-6-sol,111,openai,xhigh
mini_swe_agent_gpt_5_6_terra_high,111,True,5.0,2.149576686440678,1.1425677882882883,0.5315315315315315,18.5,-13.5,True,mini-swe-agent,0,[],gpt-5-6-terra,111,openai,high
mini_swe_agent_gpt_5_6_terra_low,111,True,3.0,1.825968982428115,0.4290752939189189,0.234984984984985,38.0,-35.0,True,mini-swe-agent,0,[],gpt-5-6-terra,111,openai,low
mini_swe_agent_gpt_5_6_terra_max,111,False,19.0,7.243571566775243,5.008505565315315,0.6914414414414415,4.5,14.5,True,mini-swe-agent,0,[],gpt-5-6-terra,111,openai,max
mini_swe_agent_gpt_5_6_terra_medium,111,True,1.0,1.713466942982456,0.5865922867867868,0.34234234234234234,33.0,-32.0,True,mini-swe-agent,0,[],gpt-5-6-terra,111,openai,medium
mini_swe_agent_gpt_5_6_terra_xhigh,111,False,9.0,3.574617197368421,2.1415499425675675,0.5990990990990991,14.0,-5.0,True,mini-swe-agent,0,[],gpt-5-6-terra,111,openai,xhigh
mini_swe_agent_kimi_k2_7_code_default,111,False,25.0,9.283129559044118,2.843481126193694,0.3063063063063063,34.0,-9.0,True,mini-swe-agent,0,[],kimi-k2-7-code,111,openrouter,
